act	행동하다,연기하다
actor	남자배우
alone	홀로, 혼자
always	항상
teach	가르치다
burn	(불이)타오르다, 타다
green	녹색, 녹색의, 초록빛의
blue	파란색, 파란, 푸른
sky	하늘
astronaut	우주비행사
space	우주
album	앨범
grape	포도
apple	사과
able	~할 수 있는
about	~에 관해서
above	~의 위에
ache	아픔, 아프다, 쑤시다
across	~을 가로질러
ambulance	구급차
clothes	옷, 의복
jeans	청바지
animal	동물
cow	소, 암소, 젖소
clean	깨끗한, 청소하다
dirty	더러운
cheap	값이 싼
expensive	비싼
dry	마른, 건조한, 말리다
wet	젖은, 마르지 않은
cartoon	만화
draw	그리다, 끌어당기다
breakfast	아침 식사
eat	먹다
boil	(물을)끓이다
borrow	빌리다
book	책, 도서
inside	내부, 안쪽에
outside	겉, 바깥쪽, 외부의
angry	화가 난
club	동아리, 동호회
join	가입하다
call	부르다, 전화하다
phone	전화
easy	쉬운
difficult	어려운
morning	아침
night	밤
end	끝, 끝나다
begin	(무엇을 하기) 시작하다
happy	행복한
bird	(조류) 새
rabbit	토끼
noodle	국수
address	주소
afford	여유가 있다
afraid	두려운, 겁내는
again	한번 더, 다시
age	나이, 연령
ankle	발목
left	왼쪽의, 왼쪽에
radio	라디오, 무선(통신)
big	(치수, 양 등이) 큰
salt	소금
listen	듣다, 귀 기울이다
math	수학
make	만들다, 제조하다
cake	케이크
kite	연, 연을 (날리다)
fly	날다, 날리다
guitar	(악기) 기타
room	방, 객식
invent	발명하다
right	오른쪽의, 오른쪽으로
small	작은
music	음악
ago	(얼마의 시간) 전에
ahead	앞으로, 앞에
almost	거의
already	이미, 벌써
before	(시간상으로 ~보다) ~전에
boring	재미없는, 지루한
safe	안전한, 안심할 수 있는
area	지역, 구역
food	음식, 식량
body	몸, 신체
leg	(신체 일부분) 다리
sun	해, 태양
away	(시간, 공간적으로) 떨어져
baby	아기, 새끼
dish	요리, 접시
band	밴드, 악대
movie	영화
foot	(신체 일부분) 발
dangerous	위험한
autumn	(계절) 가을
sunglasses	선글라스, 색안경
delicious	아주 맛있는, 냄새가 좋은
bamboo	대나무
after	(시간, 순서상) 뒤에, 후에
save	절약하다, (목숨을) 구하다
money	돈, 금전
brush	빗, 닦다, 빗다
necklace	목걸이
bark	짖다, (개, 동물) 짖는 소리
coat	코트, 외투
jacket	자켓, (셔츠위에 입는) 상의
seafood	해산물(특히 조개류)
pretty	예쁜, 꽤, 매우
get	타다, 얻다, 구하다
lose	잃어버리다, 지다
smart	똑똑한
doctor	의사, 박사
choose	선택하다, 고르다
dentist	치과의사
bar	막대기, 술집
barber	이발사
ring	반지
basket	바구니
bath	목욕, 욕조
day	낮, 하루, 날
become	~이 되다, 어울리다
minute	(시간단위) 분, 극히 작은
month	(한 달의 기간) 달, 월
king	왕, 국왕
pull	끌다, 잡아 당기다
soldier	군인, 병사
princess	공주
push	누르다, 밀다
bean	콩(열매)
different	다른, 차이가 나는
subject	과목, 주제
science	(자연) 과학
flower	꽃, 화초
prince	왕자
same	(똑)같은, 동일한
crown	왕관
beat	(시합에서) 이기다, 치다, 박자
because	~때문에, ~니까
hour	1시간
fix	고정시키다, 고치다
useful	유용한, 쓸모있는
box	상자
hobby	취미
fresh	신선한, 생생한
air	공기, 대기
open	열다, (문 등이) 열려 있는
cloudy	흐린, 구름이 잔뜩 낀
purple	보라색, 보라색의
vegetable	채소, 야채
use	쓰다, 사용하다
favorite	가장 좋아하는
help	도움, 돕다
bed	침대
bell	종, 종소리
between	~사이에, 중간에
board	판, 게시판
boat	(작은) 배, 보트
bone	뼈
